Date,S1,S1_inverted,S3,EW_Nifty
2019-04-25,100107.6893587506,95313.96731740783,100137.21610751493,110507.5524628193
2019-04-26,100231.78410631744,96071.90101540495,100502.3007409535,111211.82635143903
2019-04-30,99350.54302816073,96130.49721523692,99242.02104099332,111173.87955541728
2019-05-02,98609.4673319286,95935.09191046501,98943.18388372708,110734.28237923209
2019-05-03,98239.76842005606,95996.1092030707,98356.71022908555,110588.60350345436
2019-05-06,96889.11663408524,95302.27433550244,97330.91318547662,109569.30608611101
2019-05-07,96345.8245098747,94493.8986927431,96997.1568180424,108757.46006591602
2019-05-08,95768.09569898169,93649.71083350662,96483.10257735029,107799.37594140368
2019-05-09,95834.99039560645,93170.23680188741,96489.75898421873,107476.95146182302
2019-05-10,95718.9956755149,92649.88163144412,96419.12365418483,106991.98223454463
2019-05-13,94260.45541496844,91188.45205810847,94368.41627680443,105595.27453606871
2019-05-14,94953.82259426518,91679.0443382505,95625.51821255732,106000.5740250743
2019-05-15,94251.80688895496,91040.79875383711,94679.77346639772,105361.00481395281
2019-05-16,95499.4550836113,91912.19522732469,96308.39546726694,106471.09141877052
2019-05-17,97598.47668279929,92650.93014695813,98049.54065414543,107765.11629748992
2019-05-20,103086.53055136513,95558.66893325567,105120.70100711577,111752.78123623811
2019-05-21,101963.95401880564,94616.19672518941,104240.07276300805,110812.70985208238
2019-05-22,102193.47927026043,95049.05763897541,103831.97572130128,111190.96067134115
2019-05-23,101601.42092779843,95150.66615384423,102667.18654084172,111011.95254079308
2019-05-24,103253.0042435536,96603.42402115866,105089.08553495366,112506.43927356665
2019-05-27,104471.71091293052,97274.96566329653,106504.90672477605,113377.99036708016
2019-05-28,104245.53543427115,97243.72350990378,106245.84885073095,113332.00972635708
2019-05-29,103612.9613450869,96515.99704376773,108574.20148406227,112654.02274957596
2019-05-30,103287.10599195244,97270.00670121427,107274.0197055416,113316.65099505767
2019-05-31,103507.34817855878,97531.2199231861,106535.265665529,113609.15936105564
2019-06-03,106147.65659999785,98887.36568202874,107594.0059375544,115553.60252558999
2019-06-04,105095.95098200542,98477.92324523353,107104.76295212722,114870.70519323823
2019-06-06,103777.9904852596,97285.0931589955,105299.54645273242,113513.56838550257
2019-06-07,104074.70492002409,97309.78416701051,105637.86790590493,113679.56279194666
2019-06-10,104552.57481878636,97678.83803041356,106237.68359502136,114266.20276308863
2019-06-11,105116.37921496767,97966.76835211604,106726.9916662963,114672.93911488417
2019-06-12,104522.6326782145,97549.30862032899,106762.24427997113,114168.76207570595
2019-06-13,104241.60519529284,97776.51766345916,106408.727001997,114305.29347674151
2019-06-14,103233.9757136982,97013.41232622406,105116.15487754463,113393.08616207348
2019-06-17,100518.52558977473,95881.75139874901,102440.26545848523,111806.41141567538
2019-06-18,100416.22831544216,96425.90605032722,102456.71499122505,112260.8705894822
2019-06-19,100228.69290703707,96210.07819526692,102293.75655533477,112088.09822728932
2019-06-20,101924.13507912055,97499.9178995701,104748.85239742884,113567.71657194533
2019-06-21,101528.37170239312,96857.68616423977,103983.79971921814,112882.95532406168
2019-06-24,100773.76582830554,96850.54255121248,103116.55030288281,112672.33790261854
2019-06-25,101552.45651878521,97391.91040758167,103990.78182350346,113345.68388437672
2019-06-26,102078.97956106777,98280.97877114739,104308.20463043681,114158.16628087465
2019-06-27,102251.78642534281,98405.16862120011,105076.87701542318,114283.79500175045
2019-06-28,101749.61879429473,98263.60007280255,104251.35019183421,114085.03562712912
2019-07-01,102378.2192615362,98499.32486511972,104695.62468049901,114509.34941637846
2019-07-02,102518.84833634598,98904.64196177322,105122.665069938,114867.5374960747
2019-07-03,102716.23268569166,98949.30937408902,105964.50961597296,114924.16892365165
2019-07-04,102810.19349681976,99178.93866768888,106378.61962851646,115147.13011792126
2019-07-05,101071.92845755992,97535.89362750077,104232.2110009141,113303.08179518188
2019-07-08,98956.38145633413,94914.39955798624,101910.63212749698,110377.32393263362
2019-07-09,99287.25272399001,95268.86265733048,102364.22512133478,110676.5756276648
2019-07-10,98317.20543713238,94387.0631016987,101176.03887685658,109640.29020961242
2019-07-11,100043.93142318833,95062.1694025619,102959.51089670321,110668.54948287421
2019-07-12,100397.33995142645,95022.14676601657,103287.86624007435,110745.62090951476
2019-07-15,100579.26130825844,95069.298860977,103290.02371366408,110901.05185063492
2019-07-16,101358.9823686996,95858.99274485254,103821.49814287359,111772.3584431108
2019-07-17,101460.4227280447,95764.38814530896,103913.3890001975,111879.32753236742
2019-07-18,100023.92257337272,94699.0123571239,102625.38183096325,110639.99312045281
2019-07-19,97958.8249873088,93534.402810231,100061.6801155808,108917.25888819706
2019-07-22,98455.44075934206,93107.2250624622,100073.19160163819,108619.29551754496
2019-07-23,98098.04468330194,93390.67636400298,99659.72062964816,108838.20782511451
2019-07-24,96521.7349259732,92337.6419691319,97121.80221421062,107550.21963498236
2019-07-25,96891.72426013013,92198.91829637058,97535.69985912899,107505.77554080174
2019-07-26,97870.0478346827,92936.74733024888,98811.23977556762,108495.21561692694
2019-07-29,96246.71277005713,91831.13264089938,96722.68871869493,107320.1176334351
2019-07-30,94208.39250881321,91206.36977548989,94402.27713151781,106113.73139781672
2019-07-31,95528.55703376266,91550.36671794344,95784.47031962473,106864.93685254248
2019-08-01,94801.5154827034,90691.05632826641,94830.67057257832,105943.44246475311
2019-08-02,94664.72752790165,91221.0457319507,94907.80217962235,106266.41410844086
2019-08-05,93710.57506996242,90223.52548426372,94006.08364992653,105187.85824147797
2019-08-06,94665.78989076654,91583.93948114994,95087.01322909127,106481.05427580739
2019-08-07,93723.7168576912,91016.6519895401,94136.51547135273,105789.73875877108
2019-08-08,95411.42377781232,92035.73283346971,95733.4874427792,107408.01120526959
2019-08-09,95524.73343481444,92863.30862695634,95889.75510912627,108043.92551770568
2019-08-13,93733.88053057044,90582.92101802284,93933.66287967905,105848.77069980017
2019-08-14,94788.14527777978,91765.58793638082,95275.14130799426,107022.78157010951
