Date,strategy,ew_nifty
2025-06-16,209472.8798655388,387045.3216629886
2025-06-17,208698.965582481,383923.10740070423
2025-06-18,209520.39026095884,383112.83283543744
2025-06-19,208668.51699507536,381839.68242010253
2025-06-20,209764.4634881001,386681.18619016156
2025-06-23,207661.78998967074,387327.1961052082
2025-06-24,207628.6693728697,388883.4428630488
2025-06-25,209632.27792099508,392488.6114586463
2025-06-26,209929.49539369697,396990.8386180777
2025-06-27,211617.82328538323,398760.2375172464
2025-06-30,211895.3519500348,398250.36268405715
2025-07-01,212014.41061614107,397895.74949568516
2025-07-02,212240.88404785923,398135.52570840647
2025-07-03,212474.621913746,396851.3573075261
2025-07-04,213373.42876724183,392972.93013623805
2025-07-07,212692.56349275954,392935.7499935336
